date,portfolioAction,portfolioConfidence,portfolioExposure,portfolioFixedExposure,portfolioScore,portfolioCoverage,portfolioRecoveryScore,marketAction,marketConfidence,marketExposure,marketScore,marketRecoveryScore,closeToCloseReturn,nextOpenReturn,nextCloseReturn,nextDayReturn,strategyReturn,forwardReturn5d,forwardReturn20d,forwardReturn60d
2024-08-05,비중 축소,강한 빨간색,0.18222222222222223,0.2,-68,79.3,-0.7766,매도,약한 빨간색,0.2,-49,-0.7995,6.3997,1.7912,1.7966,1.7912,1.7912,6.2414,-1.5322,8.6246
2024-08-06,보유,위험 경계,0.55,0.6,-48,79.3,-0.3567,홀딩,위험 경계,0.6,-39,-0.3252,1.7966,-0.7278,-2.4611,-0.7278,-0.7278,5.5981,-3.7552,8.0972
2024-08-07,비중 축소,강한 빨간색,0.20222222222222222,0.2,-59,79.3,-0.621,매도,약한 빨간색,0.2,-47,-0.6365,-2.4611,3.8689,3.2238,3.8689,3.8689,9.3634,-5.2148,9.4562
2024-08-08,보유,위험 경계,0.55,0.6,-41,79.3,-0.4768,홀딩,위험 경계,0.6,-24,-0.4333,3.2238,-0.2269,1.0266,-0.2269,-0.2269,6.8444,-12.0528,4.6211
2024-08-09,비중 축소,약한 빨간색,0.25555555555555554,0.2,-35,79.3,-0.5312,홀딩,위험 경계,0.6,-27,-0.5286,1.0266,1.4919,-0.1941,1.4919,1.4919,5.8888,-8.7474,1.1684
2024-08-12,비중 축소,약한 빨간색,0.2488888888888889,0.2,-38,79.3,-0.5981,매도,약한 빨간색,0.2,-32,-0.6182,-0.1941,1.1564,1.9321,1.1564,1.1564,3.5157,-10.3428,-2.2983
2024-08-13,보유,위험 경계,0.5595,0.6,-27,79.3,-0.507,홀딩,중립,0.6,-11,-0.4854,1.9321,2.7689,4.1909,2.7689,2.7689,3.9449,-8.0814,-4.4486
2024-08-14,보유,위험 경계,0.5579999999999999,0.6,-28,79.3,-0.5728,홀딩,위험 경계,0.6,-15,-0.6021,4.1909,1.4789,-2.3082,1.4789,1.4789,-0.9634,-9.6242,-7.1735
2024-08-16,보유,위험 경계,0.564,0.6,-24,79.3,-0.5452,홀딩,중립,0.6,-10,-0.5911,-2.3082,-1.0938,1.9142,-1.0938,-1.0938,-1.985,-12.0485,-9.0104
2024-08-19,보유,위험 경계,0.576,0.6,-16,79.3,-0.4339,홀딩,중립,0.6,11,-0.4016,1.9142,-0.7587,-0.5683,-0.7587,-0.7587,-4.0114,-8.1403,-6.6378
2024-08-20,보유,위험 경계,0.5609999999999999,0.6,-26,79.3,-0.5017,홀딩,중립,0.6,0,-0.5,-0.5683,1.5637,-0.1403,1.5637,1.5637,-3.7416,-8.1995,-7.3169
2024-08-21,보유,위험 경계,0.567,0.6,-22,79.3,-0.441,홀딩,중립,0.6,11,-0.4312,-0.1403,-2.0273,-1.189,-2.0273,-2.0273,-7.6644,-8.0849,-8.1126
2024-08-22,보유,위험 경계,0.5565,0.6,-29,79.3,-0.6235,홀딩,중립,0.6,-5,-0.6661,-1.189,0.417,-1.5912,0.417,0.417,-5.1305,-4.6321,-5.326
2024-08-23,보유,중립,0.5955,0.6,-3,79.3,-0.1783,홀딩,녹색 대기,0.6,28,-0.0812,-1.5912,-3.1356,-1.3587,-3.1356,-3.1356,-4.0134,-3.2941,-4.6141
2024-08-26,보유,위험 경계,0.5625,0.6,-25,79.3,-0.2252,홀딩,녹색 대기,0.6,16,-0.1302,-1.3587,-0.4756,0.8356,-0.4756,-0.4756,-2.2015,1.9577,-2.4138
2024-08-27,보유,위험 경계,0.5805,0.6,-13,79.3,-0.0855,홀딩,녹색 대기,0.6,27,0.0552,0.8356,-2.6174,-3.4031,-2.6174,-2.6174,-6.9316,0.5797,-3.9122
2024-08-28,보유,위험 경계,0.5549999999999999,0.6,-30,79.3,-0.5155,홀딩,중립,0.6,5,-0.5005,-3.4031,0.6476,1.8073,0.6476,0.6476,-4.9546,-0.0443,-2.0775
2024-08-29,보유,위험 경계,0.5579999999999999,0.6,-28,79.3,-0.3945,홀딩,녹색 대기,0.6,13,-0.3349,1.8073,1.5897,-0.9298,1.5897,1.5897,-7.7158,0.3603,-2.9418
2024-08-30,보유,녹색 대기,0.6285,0.6,19,79.3,0.4086,신규 매수,강한 녹색,1,58,0.6625,-0.9298,-1.3149,-1.0839,-1.3149,-1.3149,-12.4478,0.5453,-5.0282
2024-09-02,보유,녹색 대기,0.6285,0.6,19,79.3,0.4136,신규 매수,강한 녹색,1,58,0.6625,-1.0839,-5.2895,-5.2864,-5.2895,-5.2895,-8.198,2.8712,-2.7222
2024-09-03,보유,위험 경계,0.5625,0.6,-25,79.3,-0.4524,홀딩,중립,0.6,5,-0.4229,-5.2864,-0.4965,-1.6629,-0.4965,-0.4965,-3.3475,8.6918,5.0741
2024-09-04,보유,위험 경계,0.55,0.6,-35,79.3,-0.4785,홀딩,중립,0.6,5,-0.4307,-1.6629,-2.3302,-1.6842,-2.3302,-2.3302,0.7946,9.6274,5.6334
2024-09-05,보유,위험 경계,0.55,0.6,-34,79.3,-0.5069,홀딩,중립,0.6,7,-0.4656,-1.6842,-3.6683,0.5959,-3.6683,-3.6683,4.3763,12.0738,6.2847
2024-09-06,비중 축소,약한 빨간색,0.23555555555555557,0.2,-44,79.3,-0.5699,홀딩,중립,0.6,-10,-0.5307,0.5959,3.6519,-0.0525,3.6519,3.6519,6.9537,19.7359,10.9291
2024-09-09,보유,위험 경계,0.5565,0.6,-29,79.3,-0.3157,홀딩,중립,0.6,11,-0.2513,-0.0525,-0.3184,1.0907,-0.3184,-0.3184,6.6459,12.0049,7.3324
2024-09-10,보유,위험 경계,0.5775,0.6,-15,79.3,0.0687,홀딩,녹색 대기,0.6,28,0.2466,1.0907,3.7784,4.0541,3.7784,3.7784,6.046,12.1664,10.5263
2024-09-11,보유,녹색 대기,0.624,0.6,16,79.3,0.4455,신규 매수,강한 녹색,1,52,0.7062,4.0541,1.0254,-1.29,1.0254,1.0254,3.9118,9.6901,7.5297
2024-09-12,분할 매수,약한 녹색,1,1,38,79.3,0.6824,신규 매수,강한 녹색,1,67,0.9146,-1.29,-1.4199,1.3884,-1.4199,-1.4199,4.5089,7.305,7.3625
